Step,GR,Complexity,Goal_Progress,Entropy,Acceleration,Jerk
0,0.07265248203541098,0.9876543209876543,0.014084507042253521,45.09626032070538,0.0,0.0
1,0.1444822110066114,0.9753086419753086,0.028169014084507043,44.784292618180075,0.0,0.0
2,0.21786670162140898,0.9629629629629629,0.04225352112676056,44.52804258416594,1,0
3,0.28910604859745803,0.9506172839506173,0.056338028169014086,44.26845933251319,1,0
4,0.3596312184448702,0.9382716049382716,0.07042253521126761,44.0054621121348,1,0
5,0.42942790363746075,0.9259259259259259,0.08450704225352113,43.73896745157468,1,0
6,0.4984813255999753,0.9135802469135802,0.09859154929577464,43.46888905094406,1,0
7,0.5667762146794872,0.9012345679012346,0.11267605633802817,43.195137669894976,1,0
8,0.6339231757916635,0.8888888888888888,0.1267605633802817,42.88645148387395,1,0
9,0.7006102897225982,0.8765432098765432,0.14084507042253522,42.604975137919986,1,0
10,0.7664896804470035,0.8641975308641975,0.15492957746478872,42.31954222263884,1,0
11,0.8315439113722813,0.8518518518518519,0.16901408450704225,42.03005086545598,1,0
12,0.8957549421168163,0.8395061728395061,0.18309859154929578,41.73639566597501,1,0
13,0.959104102585442,0.8271604938271605,0.19718309859154928,41.438467565535,1,0
14,1.0215720659606748,0.8148148148148148,0.2112676056338028,41.13615371467205,1,0
15,1.0831388206048576,0.8024691358024691,0.22535211267605634,40.82933733917435,1,0
16,1.1004882541482461,0.7901234567901234,0.22535211267605634,40.55202589517548,0,-1
17,1.1138306971574146,0.7777777777777778,0.23943661971830985,37.761614269447975,1,1
18,1.1700168226438916,0.7654320987654321,0.2535211267605634,37.503910519073926,1,0
19,1.1840524673857151,0.7530864197530864,0.2535211267605634,37.27780469023077,0,-1
20,1.182260977198341,0.7407407407407407,0.2676056338028169,34.39636718547753,1,1
21,1.233560261179675,0.7283950617283951,0.28169014084507044,34.15545265235632,1,0
22,1.2852553158159288,0.7160493827160493,0.29577464788732394,33.91027456126064,1,0
23,1.3361561361720478,0.7037037037037037,0.30985915492957744,33.66068634118198,1,0
24,1.386240944394568,0.691358024691358,0.323943661971831,33.4065340183538,1,0
25,1.4354867572922196,0.6790123456790124,0.3380281690140845,33.14765572888114,1,0
26,1.4421420002381267,0.6666666666666666,0.3380281690140845,32.91984332511773,0,-1
27,1.4111868830310441,0.654320987654321,0.352112676056338,30.008847260417276,1,1
28,1.4543737944001773,0.6419753086419753,0.36619718309859156,29.768634301950662,1,0
29,1.4981280090188,0.6296296296296297,0.38028169014084506,29.523620777318698,1,0
30,1.541027895115276,0.6172839506172839,0.39436619718309857,29.273621210534895,1,0
31,1.5830461528165234,0.6049382716049383,0.4084507042253521,29.01843965664007,1,0
32,1.6241538936768143,0.5925925925925926,0.4225352112676056,28.757868938812546,1,0
33,1.6241844548998037,0.5802469135802469,0.4225352112676056,28.527681004667308,0,-1
34,1.5657046257509453,0.5679012345679012,0.43661971830985913,25.65459381872834,1,1
35,1.600918603812263,0.5555555555555556,0.4507042253521127,25.415495421052086,1,0
36,1.6367825917045078,0.5432098765432098,0.4647887323943662,25.17089944746102,1,0
37,1.6717147709532205,0.5308641975308642,0.4788732394366197,24.920562648292535,1,0
38,1.7056798754427336,0.5185185185185185,0.49295774647887325,24.664226144922107,1,0
39,1.738640360051445,0.5061728395061729,0.5070422535211268,24.401614148619753,1,0
40,1.7327304546501985,0.49382716049382713,0.5070422535211268,24.16846240562646,0,-1
41,1.6450045367145318,0.48148148148148145,0.5211267605633803,21.301281665246155,1,1
42,1.672354559275672,0.4691358024691358,0.5352112676056338,21.06366128251361,1,0
43,1.7003385398141568,0.4567901234567901,0.5492957746478874,20.8196048736364,1,0
44,1.6922999262914724,0.4444444444444444,0.5492957746478874,20.60387229512757,0,-1
45,1.5441150965349435,0.43209876543209874,0.5492957746478874,17.64649840191273,0,0
46,1.3762054054581532,0.41975308641975306,0.5492957746478874,14.376632516139184,0,0
47,1.4144469672591276,0.25925925925925924,0.7323943661971831,6.800988127643176,13,13
48,1.437277145638259,0.24691358024691357,0.7323943661971831,9.104521677811334,0,-13
49,1.2561931681630945,0.09876543209876543,0.9014084507042254,2.3120470596724534,12,12
50,1.270927152063421,0.08641975308641975,0.9014084507042254,3.839040562551142,0,-12
51,0.930822305950493,0.07407407407407407,0.9154929577464789,0.0,1,1
52,0.9277391167598757,0.06172839506172839,0.9154929577464789,0.0,0,-1
53,0.9328898273024355,0.04938271604938271,0.9154929577464789,0.0,0,0
54,0.9389280121919725,0.037037037037037035,0.9154929577464789,0.0,0,0
55,0.9449276132451468,0.024691358024691357,0.9154929577464789,0.0,0,0
56,0.9508893607920801,0.012345679012345678,0.9154929577464789,0.0,0,0
57,0.9568139624096065,0.0,0.9154929577464789,0.0,0,0
